Numero da Peca,Descricao,Quantidade,Localizacao
A  00001013850064,TAMPA ENCHIMENTO,1,05A04
A  0000173274,PINO DE PRESSAO,1,04H08
A  0000180480,JUNTA DE ELASTOMERO,1,06A08
A  0000180780,ANEL VEDACAO DE BORRACHA DO BLOCO MOTOR,9,21D18
A  0000180980,JUNTA VED.BORRACHA(ELASTOMERO70+-5SHORE),1,21D13
A  0000181080,JUNTA DE BORRACHA,5,04G03
A  0000535258,VEDACAO DA VALVULA,1,03E13
A  0000721512,CILINDRO ACIONAMENTO EIXO BOMBA INJETORA,1,04D12
A  0000900069,VALVULA REGULADORA,1,16F13
A  0000900142,ABRACADEIRA,1,22C15
A  0000901151,JOGO DE PECAS DO ELEMENTO,2,17D06
A  0000901551,CJ ELEMENTO DO FILTRO,8,29B08
A  00009015510098,FILTRO DE COMBUSTIVEL,3,12E03
A  0000903751,ELEMENTO FILTRANTE,12,28E02
A  0000961880,LU VEDACAO,1,04D05
A  0001321410,ARRASTADOR,1,04H02
A  0001400594,FILTRO DOSADOR,5,19H01
A  0001403268,LU BICO INJETOR ADITIVO DE REDUCAO,2,20H16
A  0001404139,VALVULA DOSADORA DO ADITIVO ARLA 32,1,23E10
A  0001404478,LU MODULO DE BOMBA / 24V AQUATEC 5.2 RIB,2,08C01
A  0001405339,VALVULA DOSADORA UREIA ( ARLA ),2,06C09
A  00014070780028,JOGO DE REPARO FILTRO DO ARLA,1,17G06
A  0001407139,UNIDADE DE DOSAGEM,1,02B12
A  0001407878,UNIDADE DOSADORA DE UREIA,8,17G03
A  0001407978,BOMBA DE ALIMENTACAO DE UREIA,1,22F13
A  0001409339,UNIDADE DOSADORA DE ARLA,1,05A07
A  0001409439,UNIDADE DE DOSAGEM 24V,5,19A11
A  0001420019,VALVULA DA MEMBRANA,2,01H22
A  0001420289,ELEMENTO FILTRANTE DA BOMBA ADBLUE,18,08D05
A  00014202890097,ELEMENTO FILTRO DE UREIA - ARLA32 (SOMENTE ELEMENT,9,11A07
A  00014210890091,ELEMENTO FILTRO DE UREIA - ARLA32 (SOMENTE ELEMENT,2,SL
A  00014210890098,ELEMENTO FILTRO DE UREIA - ARLA32 (SOMENTE ELEMENT,8,11B12
A  0001421180,VEDACAO DA UNIDADE DOSADORA DO ARLA,2,06H12
A  0001504450,CJ ALTERNADOR,1,21G11
A  0001507833,CHICOTE ELETRICO DO VENTILADOR,1,23C02
A  0001508533,CJ CHICOTE ELETRICO / ADAPTADOR-NOX,2,21B16
A  0001531700,CONVERSOR DE PRESSAO,1,04I07
A  0001539932,SENSOR DE PRESSAO DE OLEO,2,16C05
